,Playoff Series Stats,,,,,,,,,,,,,,,Regular Season Stats,,,,,,,,,,
Name,G,GS,ERA,W,L,SV,CG,IP,H,R,ER,BB,SO,WHIP,WPA,G,GS,ERA,W,L,SV,IP,H,BB,SO,WHIP
Gerrit Cole,2,2,3.86,1,1,0,0,14,11,6,6,3,15,1,0.09,33,33,2.5,20,5,0,212.1,142,48,326,0.895
Chris Devenski,3,0,9,0,0,0,0,3,3,3,3,1,3,1.333,-0.03,61,1,4.83,2,3,0,69,69,21,72,1.304
Zack Greinke,2,2,2.45,0,0,0,0,11,9,3,3,5,9,1.273,0.36,*33,33,2.93,18,5,0,208.2,175,30,187,0.982
Will Harris,5,0,4.5,0,1,0,0,4,5,2,2,0,4,1.25,-0.29,68,0,1.5,4,1,4,60,42,14,62,0.933
Josh James,3,0,10.8,1,0,0,0,1.2,2,4,2,3,5,3,0.04,49,1,4.7,5,1,1,61.1,46,35,100,1.321
Roberto Osuna,2,0,3.86,0,0,1,0,2.1,3,1,1,2,1,2.143,-0.01,66,0,2.63,4,3,38,65,45,12,73,0.877
Brad Peacock,3,0,3,0,0,0,0,3,1,1,1,3,4,1.333,0.02,23,15,4.12,7,6,0,91.2,78,31,96,1.189
Ryan Pressly,4,0,9,0,0,0,0,3,3,4,3,2,3,1.667,-0.2,55,0,2.32,2,3,3,54.1,37,12,72,0.902
Hector Rondon,2,0,0,0,0,0,0,1,2,0,0,1,0,3,0,62,1,3.71,3,2,0,60.2,56,20,48,1.253
Joe Smith,4,0,5.4,0,0,0,0,3.1,4,2,2,1,4,1.5,0.11,28,0,1.8,1,0,0,25,19,5,22,0.96
Jose Urquidy,2,1,0,1,0,0,0,5.2,3,0,0,0,4,0.529,0.23,9,7,3.95,2,1,0,41,38,7,40,1.098
Justin Verlander,2,2,5.73,0,2,0,0,11,12,7,7,6,9,1.636,-0.09,34,34,2.58,21,6,0,223,137,42,300,0.803
Totals,34,7,4.29,3,4,1,0,63,58,33,30,27,61,1.349,0.22,162,162,3.662,107,55,,1462.1,1205,448,1671,1.13
