,Playoff Series Stats,,,,,,,,,,,,,,,Regular Season Stats,,,,,,,,,,
Name,G,GS,ERA,W,L,SV,CG,IP,H,R,ER,BB,SO,WHIP,WPA,G,GS,ERA,W,L,SV,IP,H,BB,SO,WHIP
Patrick Corbin,3,1,3.6,1,1,0,0,10,10,4,4,2,10,1.2,0.18,33,33,3.25,14,7,0,202,169,70,238,1.183
Sean Doolittle,3,0,0,0,0,1,0,3,2,0,0,1,2,1,0.35,63,0,4.05,6,5,29,60,63,15,66,1.3
Javy Guerra,2,0,3,0,0,0,0,3,6,1,1,0,1,2,0,*51,0,4.66,3,1,2,67.2,67,17,57,1.241
Daniel Hudson,3,0,9,0,0,0,0,4,7,4,4,1,5,2,0.05,*69,1,2.47,9,3,8,73,56,27,71,1.137
Tanner Rainey,4,0,10.13,0,0,0,0,2.2,1,3,3,4,2,1.875,-0.16,52,0,3.91,2,3,0,48.1,32,38,74,1.448
Fernando Rodney,3,0,9,0,0,0,0,2,2,2,2,6,0,4,-0.05,*55,0,5.66,0,5,2,47.2,49,28,49,1.615
Joe Ross,2,1,5.14,0,1,0,0,7,6,4,4,2,1,1.143,-0.11,27,9,5.48,4,4,0,64,74,33,57,1.672
Anibal Sanchez,1,1,6.75,0,1,0,0,5.1,10,4,4,1,4,2.063,-0.16,30,30,3.85,11,8,0,166,153,58,134,1.271
Max Scherzer,2,2,3.6,1,0,0,0,10,12,4,4,7,10,1.9,0.12,27,27,2.92,11,7,0,172.1,144,33,243,1.027
Stephen Strasburg,2,2,2.51,2,0,0,0,14.1,12,4,4,3,14,1.047,0.5,33,33,3.32,18,6,0,209,161,56,251,1.038
Wander Suero,3,0,0,0,0,0,0,1.2,0,0,0,0,2,0,0.01,78,0,4.54,6,9,1,71.1,64,26,81,1.262
Totals,28,7,4.29,4,3,1,0,63,68,30,30,27,51,1.508,0.72,162,162,4.271,93,69,,1439.1,1340,517,1511,1.29
